"Timestamp","¿En qué fecha realizó los contactos?","Coloque la sede a la pertenecen los alumnos contactados:","Coloque la categoría a la pertenecen los alumnos contactados:","¿Realizó llamadas?","Cantidad de llamadas realizadas (sólo colocar el número de llamadas realizadas):","Cantidad de llamadas efectivas (sólo colocar el número de llamadas efectivas, si ninguna fue efectiva colocar 0):","¿Envío mensajes de contacto?","Cantidad de mensajes  enviados (colocar el número total de mensajes que envío para esta categoría):","Cantidad de mensajes que obtuvieron respuesta (colocar el número de respuestas que obtuvo de sus mensajes enviados):","¿Envío trabajos (entrenamientos)?","¿Cuántos ejercicios diferentes envío?","Que usted sepa, ¿cuántos de sus alumnos de esta categoría recibieron la unidad de entrenamiento?","Según usted, ¿cuántos de sus alumnos de esta categoría realizaron los trabajos?","Si tiene algún comentario o sugerencia escríbalo aquí:"
"2020/07/30 10:51:00 AM CDT","2020-07-27","Bethania","Intermedia","No","","","Sí","10","3","Sí","1","5","2",""
"2020/07/30 10:52:30 AM CDT","2020-07-27","Bethania","Juvenil","No","","","Sí","12","4","Sí","1","5","2",""
"2020/07/30 10:54:20 AM CDT","2020-07-28","Bethania","Intermedia","No","","","Sí","10","4","Sí","1","5","2",""
"2020/07/30 10:55:47 AM CDT","2020-07-28","Bethania","Juvenil","No","","","Sí","12","3","Sí","1","5","3",""
"2020/07/30 10:57:00 AM CDT","2020-07-29","Bethania","Intermedia","No","","","Sí","10","4","Sí","1","5","2",""
"2020/07/30 10:58:22 AM CDT","2020-07-29","Bethania","Juvenil","No","","","Sí","12","4","Sí","1","5","2",""
"2020/07/30 11:33:40 AM CDT","2020-07-29","Alameda","Juvenil","No","","","Sí","18","18","Sí","3","5","4",""
"2020/07/30 11:34:28 AM CDT","2020-07-30","Alameda","Juvenil","Sí","17","17","No","","","Sí","4","5","4",""
"2020/07/30 12:06:52 PM CDT","2020-07-30","Maestro","Juvenil","Sí","13","10","Sí","17","12","Sí","2","5","4",""
"2020/07/30 12:17:10 PM CDT","2020-07-29","Gerona","Moscos","Sí","12","5","Sí","12","5","Sí","3","5","5","Muchas gracias"
